"Ativo","Data (EX-1)","Descrição","Fator"
"ABEV3<XBSP>","2019-12-19","Juros sobre o capital próprio de $0.4906 por ação",0.97440792906
"AZUL4<XBSP>",,,
"BTOW3<XBSP>","2019-08-22","Subscrição de 0.14009 ações a $39.00 por cada possuída",0.98841403584
"B3SA3<XBSP>","2019-03-26","Juros sobre o capital próprio de $0.19295 por ação",0.99420568979
"B3SA3<XBSP>","2019-06-25","Juros sobre o capital próprio de $0.19047 por ação",0.99494239299
"B3SA3<XBSP>","2019-07-04","Dividendo de $0.1032 por ação",0.99740303875
"B3SA3<XBSP>","2019-09-24","Dividendo de $0.12942 por ação",0.99707855056
"B3SA3<XBSP>","2019-09-24","Juros sobre o capital próprio de $0.18819 por ação",0.99573949604
"B3SA3<XBSP>","2019-12-30","Dividendo de $0.16373 por ação",0.99618975518
"B3SA3<XBSP>","2019-12-30","Juros sobre o capital próprio de $0.19012 por ação",0.99555864379
"BBSE3<XBSP>","2019-02-14","Dividendo de $0.67719 por ação",0.97637154815
"BBSE3<XBSP>","2019-02-14","Dividendo de $0.0053556 por ação",0.99980861128
"BBSE3<XBSP>","2019-08-09","Dividendo de $0.89068 por ação",0.97487493707
"BBSE3<XBSP>","2019-08-09","Dividendo de $0.0065015 por ação",0.99981187316
"BBSE3<XBSP>","2020-01-09","Amortização de $1.3523 por cada título",0.96459025617
"BBSE3<XBSP>","2020-02-13","Dividendo de $0.0099919 por ação",0.99973169017
"BBSE3<XBSP>","2020-02-13","Dividendo de $1.8984 por ação",0.94900929571
"BRML3<XBSP>","2019-03-28","Juros sobre o capital próprio de $0.065234 por ação",0.9947603549
"BRML3<XBSP>","2019-04-30","Dividendo de $0.083295 por ação",0.99322805028
"BRML3<XBSP>","2019-08-07","Dividendo de $0.62436 por ação",0.9595886503
"BRML3<XBSP>","2019-08-07","Juros sobre o capital próprio de $0.20163 por ação",0.98639984467
"BBDC3<XBSP>","2019-01-02","Juros sobre o capital próprio de $0.01725 por ação",0.99951775717
"BBDC3<XBSP>","2019-02-01","Juros sobre o capital próprio de $0.01725 por ação",0.99956636938
